user_id,data_type,action,file_size,destination,timestamp,risk_level,policy_violation,data_classification,file_name,source_system,detection_method,blocked_status,incident_id
U001,financial,email_send,512000,external_recipient@competitor.com,2024-01-15 10:45:12,high,data_exfiltration,confidential,financial_reports.xlsx,financial_system,content_scanning,blocked,INC_001
U001,documents,usb_copy,1048576,USB_DRIVE_001,2024-01-15 11:20:45,high,unauthorized_device,confidential,financial_reports.xlsx,financial_system,device_monitoring,blocked,INC_002
U001,documents,cloud_upload,5242880,dropbox_upload,2024-01-15 14:30:20,medium,unauthorized_cloud,internal,financial_reports.xlsx,financial_system,cloud_monitoring,monitored,INC_003
U003,source_code,git_push,1024000,external_repository,2024-01-15 11:45:30,high,unauthorized_repository,confidential,source_code_repository,source_control,repository_monitoring,blocked,INC_004
U004,customer_data,database_export,5120000,customer_export.csv,2024-01-15 13:20:10,high,unauthorized_export,confidential,customer_database.db,customer_database,data_monitoring,monitored,INC_005
U004,customer_data,email_attachment,5120000,customer_data_export.csv,2024-01-15 15:45:30,high,data_exfiltration,confidential,customer_export.csv,customer_database,content_scanning,blocked,INC_006
U005,payroll,file_access,1536000,payroll_data.xlsx,2024-01-15 10:00:45,medium,unauthorized_access,confidential,payroll_data.xlsx,hr_system,access_monitoring,monitored,INC_007
U005,payroll,file_access,1024000,employee_salaries.pdf,2024-01-15 11:30:20,medium,unauthorized_access,confidential,employee_salaries.pdf,hr_system,access_monitoring,monitored,INC_008
U005,payroll,usb_copy,2048000,USB_DRIVE_002,2024-01-15 16:20:15,high,unauthorized_device,confidential,payroll_data.xlsx,hr_system,device_monitoring,blocked,INC_009
U009,legal,file_access,4096000,legal_documents.pdf,2024-01-15 09:30:20,medium,unauthorized_access,confidential,legal_documents.pdf,legal_system,access_monitoring,monitored,INC_010
U009,legal,email_send,2048000,legal_consultant@external.com,2024-01-15 13:45:15,high,data_exfiltration,confidential,legal_documents.pdf,legal_system,content_scanning,blocked,INC_011
U010,product,web_browsing,0,competitor_website.com,2024-01-15 12:30:10,medium,competitor_access,internal,product_roadmap.xlsx,product_system,web_monitoring,monitored,INC_012
U010,product,screenshot,512000,product_screenshot.png,2024-01-15 14:15:25,medium,information_gathering,internal,product_roadmap.xlsx,product_system,screen_monitoring,monitored,INC_013
U002,hr_data,file_access,1024000,hr_database.csv,2024-01-15 09:30:25,low,authorized_access,internal,hr_database.csv,hr_system,access_monitoring,allowed,INC_014
U006,marketing,file_access,3072000,marketing_strategy.pptx,2024-01-15 09:15:10,low,authorized_access,internal,marketing_strategy.pptx,marketing_system,access_monitoring,allowed,INC_015
U006,marketing,cloud_sync,4096000,onedrive_sync,2024-01-15 14:45:30,low,authorized_cloud,internal,marketing_strategy.pptx,marketing_system,cloud_monitoring,allowed,INC_016
U007,research,file_access,8192000,research_data.csv,2024-01-15 10:30:45,low,authorized_access,internal,research_data.csv,research_system,access_monitoring,allowed,INC_017
U007,research,data_analysis,51200,statistical_analysis.py,2024-01-15 12:00:20,low,authorized_access,internal,research_data.csv,research_system,access_monitoring,allowed,INC_018
U008,network_config,file_access,256000,network_config.xml,2024-01-15 09:00:15,medium,config_access,confidential,network_config.xml,network_system,access_monitoring,monitored,INC_019
U008,network_config,config_change,51200,firewall_rules_modified,2024-01-15 15:30:25,high,config_modification,confidential,firewall_config,network_system,config_monitoring,blocked,INC_020
U001,financial,print_job,2048576,network_printer_01,2024-01-15 09:15:30,medium,print_attempt,confidential,financial_reports.xlsx,financial_system,print_monitoring,monitored,INC_021
U004,customer_data,print_job,5120000,network_printer_02,2024-01-15 13:20:10,high,print_attempt,confidential,customer_export.csv,customer_database,print_monitoring,blocked,INC_022
U005,payroll,print_job,2048000,network_printer_03,2024-01-15 16:20:15,high,print_attempt,confidential,payroll_data.xlsx,hr_system,print_monitoring,blocked,INC_023
U009,legal,print_job,4096000,network_printer_04,2024-01-15 09:30:20,medium,print_attempt,confidential,legal_documents.pdf,legal_system,print_monitoring,monitored,INC_024
U010,product,print_job,512000,network_printer_05,2024-01-15 14:15:25,low,print_attempt,internal,product_screenshot.png,product_system,print_monitoring,allowed,INC_025
U001,financial,web_upload,2048576,web_upload_site.com,2024-01-15 10:45:12,high,web_upload,confidential,financial_reports.xlsx,financial_system,web_monitoring,blocked,INC_026
U004,customer_data,web_upload,5120000,web_upload_site.com,2024-01-15 15:45:30,high,web_upload,confidential,customer_export.csv,customer_database,web_monitoring,blocked,INC_027
U005,payroll,web_upload,2048000,web_upload_site.com,2024-01-15 16:20:15,high,web_upload,confidential,payroll_data.xlsx,hr_system,web_monitoring,blocked,INC_028
U009,legal,web_upload,4096000,web_upload_site.com,2024-01-15 13:45:15,high,web_upload,confidential,legal_documents.pdf,legal_system,web_monitoring,blocked,INC_029
U010,product,web_upload,512000,web_upload_site.com,2024-01-15 14:15:25,medium,web_upload,internal,product_screenshot.png,product_system,web_monitoring,monitored,INC_030
